Date: 05/07/2021

17:14:17 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 56956, 0, 0, 0, 0, 2838]
17:14:25 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 29768, 0, 0, 0, 0, 2783]
17:14:33 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 25706, 0, 0, 0, 0, 2835]
17:14:41 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 25706, 0, 0, 0, 0, 2789]
17:14:49 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 18518, 0, 0, 0, 0, 2862]
17:14:57 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 43831, 0, 0, 0, 0, 2849]
17:15:05 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 35706, 0, 0, 0, 0, 2828]
17:15:13 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 18518, 0, 0, 0, 0, 2825]
17:15:20 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 21643, 0, 0, 0, 0, 2822]
17:15:28 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 24768, 0, 0, 0, 0, 2863]
17:15:36 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 46018, 0, 0, 0, 0, 2833]
17:15:44 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 25706, 0, 0, 0, 0, 2817]
17:15:52 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 23831, 0, 0, 0, 0, 2826]
17:16:00 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 31643, 0, 0, 0, 0, 2851]
17:16:08 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 46018, 0, 0, 0, 0, 2860]
17:16:16 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 15706, 0, 0, 0, 0, 2853]
17:16:24 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 27581, 0, 0, 0, 0, 2857]
17:16:32 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 33831, 0, 0, 0, 0, 2817]
17:16:40 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 47893, 0, 0, 0, 0, 2785]
17:16:48 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 16643, 0, 0, 0, 0, 2856]
17:16:55 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 21643, 0, 0, 0, 0, 2851]
17:17:03 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 19768, 0, 0, 0, 0, 2824]
17:17:11 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 30706, 0, 0, 0, 0, 2827]
17:17:19 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 51018, 0, 0, 0, 0, 2831]
17:17:27 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 44903, 0, 0, 0, 0, 2868]
17:17:35 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 40706, 0, 0, 0, 0, 2785]
